Country,First Opening,country_code,outlets_per_mil,num_outlets,lat,long
USA,5/15/1940,USA,40.807,13375,33.88,-117.93
USA,5/15/1940,USA,40.807,13375,29.67,-82.34
USA,5/15/1940,USA,40.807,13375,39.14,-77.22
USA,5/15/1940,USA,40.807,13375,29.3,-94.81
USA,5/15/1940,USA,40.807,13375,33.78,-117.96
USA,5/15/1940,USA,40.807,13375,33.89,-118.3
USA,5/15/1940,USA,40.807,13375,32.91,-96.63
USA,5/15/1940,USA,40.807,13375,41.6,-87.34
USA,5/15/1940,USA,40.807,13375,35.25,-81.17
USA,5/15/1940,USA,40.807,13375,30.65,-97.69
USA,5/15/1940,USA,40.807,13375,39.18,-77.26
USA,5/15/1940,USA,40.807,13375,33.33,-111.76
USA,5/15/1940,USA,40.807,13375,37.01,-121.58
USA,5/15/1940,USA,40.807,13375,39.17,-76.6
USA,5/15/1940,USA,40.807,13375,34.18,-118.25
USA,5/15/1940,USA,40.807,13375,33.58,-112.2
USA,5/15/1940,USA,40.807,13375,34.15,-117.84
USA,5/15/1940,USA,40.807,13375,42.08,-87.82
USA,5/15/1940,USA,40.807,13375,33.35,-112.41
USA,5/15/1940,USA,40.807,13375,47.92,-97.07
USA,5/15/1940,USA,40.807,13375,40.92,-98.37
USA,5/15/1940,USA,40.807,13375,39.09,-108.55
USA,5/15/1940,USA,40.807,13375,32.69,-97.02
USA,5/15/1940,USA,40.807,13375,42.96,-85.66
USA,5/15/1940,USA,40.807,13375,32.93,-97.07
USA,5/15/1940,USA,40.807,13375,47.5,-111.29
USA,5/15/1940,USA,40.807,13375,28.07,-82.52
USA,5/15/1940,USA,40.807,13375,40.42,-104.74
USA,5/15/1940,USA,40.807,13375,44.52,-87.99
USA,5/15/1940,USA,40.807,13375,36.08,-79.83
USA,5/15/1940,USA,40.807,13375,34.84,-82.37
USA,5/15/1940,USA,40.807,13375,35.6,-77.37
USA,5/15/1940,USA,40.807,13375,41.04,-73.59
USA,5/15/1940,USA,40.807,13375,39.62,-86.11
USA,5/15/1940,USA,40.807,13375,45.5,-122.44
USA,5/15/1940,USA,40.807,13375,30.39,-89.07
USA,5/15/1940,USA,40.807,13375,34,-117.97
USA,5/15/1940,USA,40.807,13375,40.89,-74.05
USA,5/15/1940,USA,40.807,13375,32.82,-97.27
USA,5/15/1940,USA,40.807,13375,41.37,-72.89
USA,5/15/1940,USA,40.807,13375,39.39,-84.56
USA,5/15/1940,USA,40.807,13375,40.09,-74.39
USA,5/15/1940,USA,40.807,13375,41.62,-87.49
USA,5/15/1940,USA,40.807,13375,37.05,-76.29
USA,5/15/1940,USA,40.807,13375,36.33,-119.65
USA,5/15/1940,USA,40.807,13375,26.2,-97.69
USA,5/15/1940,USA,40.807,13375,40.28,-76.88
USA,5/15/1940,USA,40.807,13375,38.44,-78.87
USA,5/15/1940,USA,40.807,13375,41.77,-72.68
USA,5/15/1940,USA,40.807,13375,31.31,-89.31
USA,5/15/1940,USA,40.807,13375,42.78,-71.09
USA,5/15/1940,USA,40.807,13375,33.91,-118.35
